USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,mental,physical,temp,perf,effort,frust,time,viewdoc,viewtopic
14,20,female,British,5,ug,lrg,2,303,NYT19991215.0229,1,25,5,30,80,20,10,39303,1,0
15,43,female,british,5,pg,sml,2,439,XIE19980403.0124,1,70,5,55,15,55,40,144083,2,1
15,43,female,british,5,pg,lrg,1,426,NYT19990323.0037,2,55,55,55,55,50,55,73206,2,1
15,43,female,british,5,pg,lrg,2,443,NYT19990224.0336,2,70,70,65,65,65,65,169722,3,2
15,43,female,british,5,pg,med,2,650,NYT20000919.0334,2,55,55,50,55,50,50,36139,1,0
15,43,female,british,5,pg,sml,1,362,APW19980805.0328,2,50,50,50,55,50,50,29503,1,0
15,43,female,british,5,pg,sml,0,383,XIE19990803.0022,0,50,50,50,55,50,50,29105,1,0
15,43,female,british,5,pg,med,0,378,XIE19970425.0087,0,55,55,55,55,50,50,94353,2,1
15,43,female,british,5,pg,lrg,0,375,NYT19990712.0191,1,55,55,55,55,55,55,76302,2,1
15,43,female,british,5,pg,med,1,363,APW20000308.0249,0,60,55,60,55,60,50,132684,2,1
16,43,male,British,5,nodegree,med,1,433,NYT19990514.0239,0,40,5,5,85,20,20,167643,1,0
16,43,male,British,5,nodegree,sml,1,363,NYT19990326.0425,0,40,5,5,95,20,10,126619,2,1
16,43,male,British,5,nodegree,lrg,0,322,NYT19990102.0050,0,15,5,5,100,10,5,170570,1,0
16,43,male,British,5,nodegree,sml,0,353,XIE19980521.0233,0,10,5,5,100,5,5,89689,1,0
16,43,male,British,5,nodegree,lrg,2,689,NYT20000713.0353,1,40,5,5,80,20,10,306321,3,2
16,43,male,British,5,nodegree,lrg,1,658,NYT19980914.0241,2,20,5,5,100,10,5,154610,2,1
16,43,male,British,5,nodegree,med,2,427,NYT20000412.0273,1,20,5,5,100,15,5,176611,2,1
16,43,male,British,5,nodegree,med,0,378,APW20000127.0112,0,20,5,5,100,15,5,99202,2,1
16,43,male,British,5,nodegree,sml,2,347,XIE20000531.0205,2,20,5,5,90,15,5,125616,1,0
17,20,female,Singaporean,5,ug,lrg,0,658,APW19990423.0114,0,25,20,25,60,25,25,31379,1,0
17,20,female,Singaporean,5,ug,lrg,1,344,NYT19990624.0121,2,25,15,25,65,15,15,55666,2,1
17,20,female,Singaporean,5,ug,lrg,2,347,NYT20000517.0341,2,15,15,15,65,15,15,31357,1,0
17,20,female,Singaporean,5,ug,med,1,625,APW20000422.0032,2,15,15,15,65,15,15,29785,2,1
17,20,female,Singaporean,5,ug,med,2,314,APW19980617.1076,2,15,35,15,65,15,15,16452,1,0
17,20,female,Singaporean,5,ug,sml,1,336,XIE20000725.0314,2,20,15,15,65,20,15,13764,1,0
17,20,female,Singaporean,5,ug,sml,0,389,XIE19990702.0043,0,15,15,15,65,15,15,29817,1,0
17,20,female,Singaporean,5,ug,sml,2,330,XIE19980701.0044,2,15,15,15,65,15,15,21302,2,1
17,20,female,Singaporean,5,ug,med,0,648,XIE19961105.0098,1,15,15,15,65,15,15,23040,2,1
18,25,female,British,5,pg,sml,1,651,APW19990330.0166,1,75,5,35,70,55,55,45374,2,1
18,25,female,British,5,pg,sml,0,378,XIE19990310.0148,0,30,5,30,90,50,40,25949,1,0
18,25,female,British,5,pg,med,2,689,NYT19991116.0441,2,85,5,80,65,65,60,109737,3,2
18,25,female,British,5,pg,lrg,2,408,APW19980924.0013,2,25,5,35,90,30,25,26965,1,0
18,25,female,British,5,pg,lrg,1,344,NYT19990509.0127,1,80,5,80,65,55,60,122310,2,1
18,25,female,British,5,pg,sml,2,347,XIE19990503.0168,2,5,5,5,90,30,15,25106,1,0
18,25,female,British,5,pg,lrg,0,638,NYT20000602.0364,0,80,5,70,60,65,55,91611,1,0
18,25,female,British,5,pg,med,0,345,XIE20000802.0138,0,15,5,25,80,40,20,56178,1,0
18,25,female,British,5,pg,med,1,363,XIE20000421.0051,1,25,5,50,70,55,25,37966,2,1
19,24,male,British,5,pg,sml,2,310,XIE19990525.0216,2,75,5,65,65,55,5,22417,1,0
19,24,male,British,5,pg,med,1,648,APW19990621.0264,0,70,5,65,65,55,5,18163,1,0
19,24,male,British,5,pg,lrg,0,397,NYT20000217.0120,0,75,5,65,55,55,5,8470,1,0
19,24,male,British,5,pg,med,0,336,APW19991014.0256,1,85,5,80,60,60,5,23470,1,0
19,24,male,British,5,pg,sml,0,409,XIE19990408.0029,2,75,5,55,60,55,5,7307,1,0
19,24,male,British,5,pg,sml,1,439,XIE19980920.0037,0,80,5,75,70,70,5,29821,4,3
19,24,male,British,5,pg,lrg,1,362,NYT19980710.0406,1,75,5,65,65,65,5,33541,1,0
19,24,male,British,5,pg,lrg,2,419,NYT19990722.0228,1,70,5,60,60,60,5,31815,2,1
19,24,male,British,5,pg,med,2,303,NYT19981123.0382,1,65,5,65,60,60,5,19981,1,0
20,31,male,British,5,pg,sml,1,397,APW19990716.0002,1,35,5,55,70,45,30,43957,1,0
20,31,male,British,5,pg,med,2,443,APW19990815.0034,1,40,5,50,65,45,40,60179,1,0
20,31,male,British,5,pg,med,0,638,NYT20000815.0363,0,15,5,30,70,25,20,79292,1,0
20,31,male,British,5,pg,sml,2,330,XIE19980701.0044,2,35,5,30,65,25,35,47078,1,0
20,31,male,British,5,pg,lrg,0,341,NYT19990405.0296,0,30,10,60,70,40,55,150954,1,0
20,31,male,British,5,pg,lrg,2,347,NYT19991014.0099,2,20,5,30,70,20,30,105447,1,0
20,31,male,British,5,pg,sml,0,689,XIE19980305.0136,0,10,5,25,70,25,20,36970,1,0
20,31,male,British,5,pg,lrg,1,314,NYT20000321.0224,1,40,5,45,65,40,35,68252,1,0
20,31,male,British,5,pg,med,1,363,APW19981122.0682,1,35,10,45,65,25,35,61213,1,0
21,25,male,British,5,pg,lrg,0,439,NYT19981218.0487,0,35,10,65,90,35,70,154029,2,1
21,25,male,British,5,pg,med,0,435,NYT19990203.0373,0,10,10,35,100,25,30,57632,2,1
21,25,male,British,5,pg,med,2,448,XIE19970818.0093,1,55,10,40,55,55,30,95678,2,1
21,25,male,British,5,pg,sml,0,374,XIE20000519.0111,0,25,10,35,100,25,25,49375,1,0
21,25,male,British,5,pg,lrg,2,622,NYT19980818.0289,2,35,10,35,90,35,25,110515,1,0
21,25,male,British,5,pg,sml,1,427,APW19990803.0340,0,55,10,25,70,25,45,49674,2,1
21,25,male,British,5,pg,lrg,1,419,NYT20000318.0065,0,50,10,35,65,45,30,153906,1,0
21,25,male,British,5,pg,med,1,389,APW19980728.0918,2,35,10,40,90,30,30,88990,2,1
21,25,male,British,5,pg,sml,2,354,XIE19991117.0188,1,65,10,35,55,55,25,53271,2,1
22,22,male,English,5,ug,lrg,0,426,NYT20000303.0242,0,15,15,5,10,5,50,148538,1,0
22,22,male,English,5,ug,med,2,322,NYT19980625.0590,1,10,5,25,35,20,30,58092,1,0
22,22,male,English,5,ug,sml,1,638,APW19990916.0339,1,10,20,10,55,10,50,57293,1,0
22,22,male,English,5,ug,sml,0,650,XIE19990113.0142,0,20,10,20,5,10,70,43705,1,0
22,22,male,English,5,ug,med,0,416,NYT19990203.0373,0,10,5,15,5,10,80,48133,1,0
