USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,time,viewdoc,viewtopic,mental,physical,temp,perf,effort,frust
54f076949913c,39,female,venezuelan,4,ug,lrg,0,689,NYT20000824.0354,0,49126,1,0,55,60,50,40,45,40
54f076949913c,39,female,venezuelan,4,ug,lrg,1,354,NYT20000710.0057,2,36655,1,0,55,55,50,45,45,45
54f0769989e95,22,female,bosnian,3,ug,med,0,389,XIE19980113.0018,1,12815,1,0,60,50,65,55,45,40
54f0769989e95,22,female,bosnian,3,ug,lrg,1,325,NYT19991030.0143,1,12953,1,0,55,65,55,50,60,45
54f0769989e95,22,female,bosnian,3,ug,med,1,638,APW20000125.0012,1,8316,1,0,40,45,30,45,40,70
54f0769989e95,22,female,bosnian,3,ug,sml,0,374,XIE19980408.0205,1,5661,1,0,65,45,50,40,50,35
54f0769989e95,22,female,bosnian,3,ug,lrg,2,448,XIE19980919.0069,1,7682,1,0,80,60,60,50,45,55
54f0769989e95,22,female,bosnian,3,ug,med,2,408,APW19981018.0298,1,7270,1,0,45,55,45,55,45,60
54f0769989e95,22,female,bosnian,3,ug,lrg,0,336,NYT19980715.0452,1,8528,1,0,60,55,35,50,45,60
54f0769989e95,22,female,bosnian,3,ug,sml,1,363,NYT19990326.0427,1,8023,1,0,60,60,55,45,35,45
54f0769989e95,22,female,bosnian,3,ug,sml,2,426,XIE19970322.0006,1,4877,1,0,75,75,90,75,60,55
54f0769b5f687,21,male,portuguese,3,ug,med,0,330,XIE19960530.0081,1,11403,1,0,65,65,70,65,25,65
54f0769b5f687,21,male,portuguese,3,ug,sml,1,448,XIE19970102.0048,2,13862,1,0,75,70,85,90,35,85
54f0769b5f687,21,male,portuguese,3,ug,sml,0,416,XIE19981206.0122,0,7666,1,0,65,25,30,45,50,80
54f0769b5f687,21,male,portuguese,3,ug,med,2,426,APW19990512.0059,1,3819,1,0,45,55,50,45,40,40
54f0769b5f687,21,male,portuguese,3,ug,lrg,0,622,NYT20000511.0085,1,4688,1,0,20,35,75,60,70,30
54f0769b5f687,21,male,portuguese,3,ug,lrg,2,322,NYT19980908.0191,0,5048,1,0,70,70,45,45,30,80
54f0769b5f687,21,male,portuguese,3,ug,lrg,2,341,NYT19991105.0012,1,5276,1,0,70,40,45,65,90,20
54f0769b5f687,21,male,portuguese,3,ug,med,1,409,APW20000304.0116,0,4057,1,0,50,25,45,60,45,65
54f0769b5f687,21,male,portuguese,3,ug,sml,1,399,XIE19990129.0259,2,8764,1,0,80,45,60,75,35,70
54f0769e307d7,30,male,Turkey,4,staff,med,1,307,XIE19990610.0250,2,272000,1,0,95,95,95,95,95,95
54f0769e307d7,30,male,Turkey,4,staff,sml,2,436,XIE19991124.0174,2,5331,1,0,95,90,90,95,95,95
54f0769e307d7,30,male,Turkey,4,staff,sml,1,399,XIE19990722.0274,2,9775,1,0,95,95,95,95,90,95
54f0769e307d7,30,male,Turkey,4,staff,lrg,0,638,NYT20000602.0383,2,24263,1,0,95,90,90,85,90,90
54f0769e307d7,30,male,Turkey,4,staff,sml,2,322,APW20000522.0198,2,11996,1,0,85,90,90,90,90,90
54f0769e307d7,30,male,Turkey,4,staff,med,0,325,NYT19991101.0184,2,25004,1,0,85,90,85,90,85,90
54f0769e307d7,30,male,Turkey,4,staff,med,1,404,XIE19990331.0054,2,3940,1,0,95,90,90,90,95,90
54f0769e307d7,30,male,Turkey,4,staff,lrg,0,399,NYT19990204.0125,2,21267,1,0,85,90,85,85,70,90
54f0769e307d7,30,male,Turkey,4,staff,lrg,2,401,NYT20000817.0167,2,7636,1,0,85,90,85,90,85,85
54f0769fec17c,23,male,india,4,ug,sml,0,404,APW19980706.0290,0,85870,2,1,80,85,80,90,90,45
54f0769fec17c,23,male,india,4,ug,med,2,433,NYT20000626.0141,2,61750,1,0,80,80,65,80,60,25
54f0769fec17c,23,male,india,4,ug,lrg,1,419,NYT20000318.0065,0,114136,1,0,70,80,70,75,80,50
54f0769fec17c,23,male,india,4,ug,med,2,427,APW19980929.0096,1,50415,1,0,75,80,70,75,75,50
54f0769fec17c,23,male,india,4,ug,sml,1,393,XIE19970730.0075,2,36660,1,0,80,75,65,80,60,20
